smiles,IC50
COc1ccc(CNc2nnc(N3CCC(CO)CC3)c3ccc(C#N)cc23)cc1Cl.Cl,0.93
COc1ccc(CNc2nnc(N3CCN(c4ccccn4)CC3)c3ccc(C#N)cc23)cc1Cl.Cl,11.0
CCn1c(=O)c2c(nc(NC3CCCCC3)n2Cc2ccc(O)c(F)c2)n(CC)c1=O,0.33
CCn1c(=O)c2c(nc(NC3CCCCC3)n2Cc2ccc(O)c(Cl)c2)n(CC)c1=O,2.0
CCn1c(=O)c2c(nc(NC3CCCC3)n2Cc2ccccc2)n(CC)c1=O,10.0
COc1ccc(CNc2nnc(N[C@H]3CC[C@H](O)CC3)c3ccc(C#N)cc23)cc1Cl.Cl,12.0
CCn1c(=O)c2c(nc(NC3CCCCC3)n2Cc2ccc(O)cc2)n(CC)c1=O,0.6
COc1ccc(CNc2nnc(N3CCN(c4ncccn4)CC3)c3ccc(C#N)cc23)cc1Cl.Cl,19.0
CCn1c(=O)c2c(nc(NC3CCCC3)n2Cc2ccc(OC)c(F)c2)n(CC)c1=O,0.69
COc1ccc(CNc2nnc(N3CCS(=O)(=O)CC3)c3ccc(C#N)cc23)cc1Cl.Cl,0.79
COc1ccc(CNc2nnc(N3CCC(O)CC3)c3ccc(C(=O)N(C)C)cc23)cc1Cl.Cl,58000.0
COc1ccc(CNc2nnc(N3CCN(C)CC3)c3ccc(C#N)cc23)cc1Cl.Cl,0.95
c1ccc(CNc2nc(C3CCCCC3)nc3ccccc23)cc1,11000.0
Cl.Cl.O=[N+]([O-])c1ccc2nc(-c3cccnc3)nc(NCc3ccccc3)c2c1,10.0
Cl.Cl.Cl.c1cncc(CNc2nc(-c3cccnc3)nc3ccccc23)c1,2800.0
Cl.Cl.Fc1ccc2c(NCc3ccccc3)nc(-c3cccnc3)nc2c1,480.0
c1ccc(COc2nc(-c3ccccc3)nc3ccccc23)cc1,18500.0
c1ccc(Nc2nc(-c3ccncc3)nc3ccccc23)cc1,1200.0
c1ccc(CNc2nc(N3CCOCC3)nc3ccccc23)cc1,4300.0
c1ccc(CNc2nc(-c3cccs3)nc3ccccc23)cc1,720.0
Cl.Cl.c1ccc(CNc2nc(-c3ccccn3)nc3ccccc23)cc1,2300.0
Cl.Cl.c1ccc(-c2nc(NCc3ccccn3)c3ccccc3n2)cc1,11000.0
Cl.Cl.c1cncc(-c2nc(NCc3cccs3)c3ccccc3n2)c1,360.0
COc1ccc(CNc2c(CO)cnc3ccc(C#N)cc23)cc1Cl,0.48
C(=C/c1nc(NCc2ccccc2)c2ccccc2n1)\c1ccccc1,1300.0
c1ccc(-c2nc(Nn3cccc3)c3ccccc3n2)cc1,6000.0
c1ccc(CNc2nc(-c3cccnc3)nc3ccccc23)cc1,450.0
Cl.Cl.c1cncc(-c2nc(NCc3ccco3)c3ccccc3n2)c1,1700.0
c1ccc(-c2nc(NC3CCCCC3)c3ccccc3n2)cc1,3900.0
Cc1cc[nH]c1CCNc1nc(-c2cccnc2)nc2ccccc12,1100.0
CN1CCN(c2nc(NCc3ccccc3)c3ccccc3n2)CC1,22000.0
Cl.Fc1ccc2nc(-c3cccnc3)nc(NCc3ccccc3)c2c1,165.0
Cl.Cl.O=[N+]([O-])c1ccc2nc(-n3ccnc3)nc(NCc3ccccc3)c2c1,2.6
CSc1ccc2nc(-n3ccnc3)nc(NCc3ccccc3)c2c1.Cl.Cl,14.0
CN(c1ccccc1)c1nc(-c2ccccc2)nc2ccccc12.Cl,20000.0
Clc1ccc(Nc2nc(-c3ccccc3)nc3ccccc23)cc1,2150.0
OCCCCCNc1nc(-c2ccccc2)nc2ccccc12,15000.0
Clc1ccccc1Nc1nc(-c2ccccc2)nc2ccccc12,5500.0
Cl.Clc1cccc(Nc2nc(-c3ccccc3)nc3ccccc23)c1,1000.0
Cl.Cl.c1ccc(CCNc2nc(-n3ccnc3)nc3ccccc23)cc1,860.0
CCOC(=O)c1cnc2ccc(C(F)(F)F)cc2c1NCc1ccc(OC)c(Cl)c1,73.0
O=[N+]([O-])c1cccc(Nc2nc(-c3ccccc3)nc3ccccc23)c1,420.0
CS(=O)(=O)c1ccc2nc(-n3ccnc3)nc(NCc3ccccc3)c2c1.Cl.Cl,110.0
C#Cc1ccc2nc(-n3ccnc3)nc(NCc3ccccc3)c2c1.Cl,0.53
c1ccc(Nc2nc(-c3cccs3)nc3ccccc23)cc1,2400.0
c1ccc(Nc2nc(-c3ccco3)nc3ccccc23)cc1,2300.0
CCOC(=O)c1cnc2ccc(C#N)cc2c1NCc1ccc(OC)c(Cl)c1,4.0
Cl.Cl.c1coc(CNc2nc(-n3ccnc3)nc3ccccc23)c1,630.0
Cl.Cl.c1ccc2c(NCC3CCCCC3)nc(-n3ccnc3)nc2c1,230.0
c1ccc(-c2nc(NCc3cccnc3)c3ccccc3n2)cc1,8600.0
COc1ccc(CNc2ccnc3ccc(C#N)cc23)cc1Cl,1.4
Cl.Cl.c1cncc(-c2nc(NCC3CC3)c3ccccc3n2)c1,4400.0
Cl.Cl.Clc1ccc2nc(-n3ccnc3)nc(NCc3ccccc3)c2c1,2.8
CCCNc1nc(-c2ccccc2)nc2ccccc12,6200.0
COC(=O)c1ccc(Nc2nc(-c3ccccc3)nc3ccccc23)cc1,860.0
Clc1cccc(CNc2nc(-c3ccccc3)nc3ccccc23)c1,800.0
c1ccc(-c2nc(NC3CCCC3)c3ccccc3n2)cc1,2400.0
COc1cccc(Nc2nc(-c3ccccc3)nc3ccccc23)c1.Cl,760.0
c1ccc(Nc2nc(C3CCCCC3)nc3ccccc23)cc1,6800.0
Cl.Cl.c1ccc2c(NCC3CCCO3)nc(-n3ccnc3)nc2c1,3000.0
Cc1cc(Nc2nc(-c3ccccc3)nc3ccccc23)no1,3600.0
Clc1ccc(CNc2nc(-c3ccccc3)nc3ccccc23)cc1,740.0
Cl.c1ccc(Nc2nc(-c3ccccc3)nc3ccccc23)cc1,5600.0
COc1cc2c(=O)n(Cc3ccc4c(c3)OCO4)cnc2c(OC)c1OC,530.0
Clc1ccc2c(NCc3ccc4c(c3)OCO4)ncnc2c1,1100.0
COc1cc(OC)c2ncnc(NCc3ccc4c(c3)OCO4)c2c1,810.0
CSc1ccc2ncnc(NCc3ccc4c(c3)OCO4)c2c1,31.0
c1ccc2c(NCc3ccc4c(c3)OCO4)ncnc2c1,4200.0
Cc1ccc2ncnc(NCc3ccc4c(c3)OCO4)c2c1,100.0
CS(=O)(=O)c1ccc2ncnc(NCc3ccc4c(c3)OCO4)c2c1,810.0
O=C(O)c1ccc2ncnc(NCc3ccc4c(c3)OCO4)c2c1,7500.0
N#Cc1ccc2ncnc(NCc3ccc4c(c3)OCO4)c2c1,90.0
COc1ccc2ncnc(NCc3ccc4c(c3)OCO4)c2c1OC,730.0
CSc1ccc2ncnc(OCc3ccc4c(c3)OCO4)c2c1,1400.0
COc1ccc2ncnc(NCc3ccc4c(c3)OCO4)c2c1,230.0
CN(C)C(=O)c1ccc2ncnc(NCc3ccc4c(c3)OCO4)c2c1,2300.0
NC(=O)c1ccc2ncnc(NCc3ccc4c(c3)OCO4)c2c1,770.0
O=C(c1ccc2ncnc(NCc3ccc4c(c3)OCO4)c2c1)N1CCOCC1,2700.0
C[S+]([O-])c1ccc2ncnc(NCc3ccc4c(c3)OCO4)c2c1,380.0
CCOc1ccc2ncnc(NCc3ccc4c(c3)OCO4)c2c1,380.0
O=c1c2ccc(Cl)cc2ncn1Cc1ccc2c(c1)OCO2,8700.0
CCOC(=O)c1ccc2ncnc(NCc3ccc4c(c3)OCO4)c2c1,620.0
CSc1ccc2ncn(Cc3ccc4c(c3)OCO4)c(=O)c2c1,2300.0
CCn1ncc2c3c(NCc4ccc(OC)c(Cl)c4)nnc(NCc4ccncc4)c3cnc21,0.1
CCn1ncc2c3c(NCc4ccc(OC)c(Cl)c4)nnc(N4CCC(O)CC4)c3cnc21,0.7
CCn1ncc2c3c(NCc4ccc(OC)c(Cl)c4)nnc(-n4cnc(C(=O)NC)c4)c3cnc21,0.3
CCn1ncc2c(NCc3ccc(OC)c(Cl)c3)c(C(=O)NCc3ccncc3)cnc21,0.8
COc1ccc(CNc2nnc(N3CCC(O)CC3)c3ccc(C#N)cc23)cc1Cl,0.6
CCCCCCOc1ccccc1-c1nc2ccc[nH]c-2n1,4000.0
ClCCCOc1ccccc1-c1nc2ccc[nH]c-2n1,2000.0
CCCCCOc1ccccc1-c1nc2cc[nH]cc-2n1.Cl,1000.0
COc1cc([S+](C)[O-])ccc1-c1nc2cccnc2[nH]1,21000.0
CCCNc1ccccc1-c1nc2ccc[nH]c-2n1,26000.0
CC(=O)Oc1ccccc1-c1nc2ccc[nH]c-2n1,40000.0
CCCOc1ccccc1-c1cn2cccnc2n1,33000.0
CCCCCOc1ccccc1-c1nc2ccc[nH]c-2n1,1000.0
c1ccc(COc2ccccc2-c2nc3ccc[nH]c-3n2)cc1,4000.0
CCOc1ccccc1-c1nc2ccc[nH]c-2n1,18000.0
COc1ccccc1-c1nc2ccc[nH]c-2n1.Cl,34000.0
CCCSc1ccccc1-c1nc2ccc[nH]c-2n1,24000.0
COc1cc([S+](C)[O-])ccc1-c1nc2cnccc2[nH]1,58000.0
CCN1C(=O)c2c(ncn2Cc2ccc(OC)cc2)N2C1=N[C@@H]1CCC[C@@H]12,55.0
CCN1C(=O)c2c(nc(OCc3ccccc3)n2Cc2ccc(O)c(Cl)c2)N2C[C@@H](Cc3ccccc3)N=C12,2.1
CCN1C(=O)c2c(nc(C(=O)OC)n2Cc2ccc(OC)cc2)N2C1=N[C@@H]1CCC[C@@H]12,6.8
CCN1C(=O)c2c(ncn2Cc2ccc(OC)c(Br)c2)N2C1=N[C@@H]1CCC[C@@H]12,6.5
CCN1C(=O)c2c(nc(C(N)=O)n2Cc2ccc(OC)c(Br)c2)N2C1=N[C@@H]1CCC[C@@H]12,1.5
CCCOc1ccc(C(N)=O)cc1-c1nc(O)c2cc3c(cc2n1)ncn3Cc1ccc(F)cc1,0.48
CCCOc1ccc(S(=O)(=O)N2CCN(CC)CC2)cc1-c1nc(O)c2cc3c(cc2n1)ncn3Cc1cccc(F)c1,1.4
